depth,mb_success_probability_instances,mb_success_probability_mean,mb_success_probability_median,mb_success_probability_std,mb_success_probability_sem,mb_success_probability_ci95_low_boot,mb_success_probability_ci95_high_boot
8,50,0.6,0.6,0.13702375780893483,0.019378085666072194,0.562,0.637
10,50,0.518,0.5,0.09781281582070679,0.013832821070754517,0.49199999999999994,0.545
12,50,0.4759999999999999,0.45,0.10654116766848047,0.015067196426783098,0.446,0.505
14,50,0.374,0.4,0.1242282297274838,0.01756852473102081,0.33899999999999997,0.40802500000000014
16,50,0.305,0.3,0.12132348393902163,0.017157731642091875,0.271,0.33699999999999997
18,50,0.28900000000000003,0.3,0.11836039740330964,0.016738687925562976,0.257,0.322
20,50,0.261,0.25,0.11261728580117926,0.01592648929376747,0.23,0.292
