degradation,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,auroc,auprc,brier,tn,fp,fn,tp,fpr,fnr
Average,0.5,0.9322777777777778,0.6927360058325109,0.8456937799043063,0.39343350027824153,0.5370300037979491,0.549100972908491,0.9689893024269055,0.77159349823713,0.04610957806157678,16074,129,1090,707,0.007961488613219775,0.6065664997217585
Misalignment,0.5,0.9880555555555556,0.9575130603535384,0.9617142857142857,0.9191698525395958,0.9399609047752024,0.9336272895137646,0.9984358617347306,0.9819874079696415,0.01179470641916906,16102,67,148,1683,0.004143731832519018,0.08083014746040415
Missing Sections,0.5,0.9882222222222222,0.9651125254383156,0.9474847982310669,0.9361004915346806,0.9417582417582417,0.9352283508031911,0.9985694858299518,0.9862724521602146,0.012200486483947944,16074,95,117,1714,0.005875440658049354,0.0638995084653195
Mixed,0.5,0.983,0.9301278744081615,0.967956469165659,0.8635382955771306,0.9127708095781072,0.9051934914850381,0.9982451459985345,0.9839479251801212,0.013163461406067216,16093,53,253,1601,0.0032825467608076303,0.13646170442286948
