n_features,age_neighbor_mse,age_neighbor_spearman,pseudotime_axis_spearman,umap_axis0_corr_full,mean_batch_entropy,batch_silhouette,phase_silhouette,subset,method
10,29.21831982342845,0.05960453520478035,0.6357111946819369,0.23515159736165744,0.5938159837819776,0.062288377434015274,-0.035289447754621506,dynamic_top_10,dynamic
10,28.758907851995005,0.1057762864068422,0.46115377605070895,0.8181331892199815,0.8168475830191974,-0.004013719502836466,-0.07300341129302979,variance_top_10,variance
20,29.552592391363117,0.06498996426336989,0.7262109273732394,0.24558728199442864,0.7286537987029424,0.02043887972831726,-0.03705083578824997,dynamic_top_20,dynamic
20,28.593446778572222,0.1180821879253574,-0.45440211719764595,-0.8336819630073612,0.7692713586805305,0.014057958498597145,-0.050776105374097824,variance_top_20,variance
30,28.80282244980514,0.13355074443048925,-0.6608068833062398,-0.18287298573543126,0.6917944932442504,0.01364270318299532,-0.04495900124311447,dynamic_top_30,dynamic
30,29.30441275251086,0.08362810019078513,0.54633450846469,0.8000405553779663,0.6947284119415753,0.0074538285844028,-0.05074826627969742,variance_top_30,variance
50,24.96114208483684,0.26288467670327764,0.4334546346912533,0.7767339722829485,0.7017972904464723,0.013660725206136703,-0.06074448674917221,dynamic_top_50,dynamic
50,26.298360654492434,0.2682612334096285,-0.22624973105702814,-0.8801407514683213,0.6760153527081096,0.022311238572001457,-0.07381783425807953,variance_top_50,variance
241,22.13095732094757,0.47643171725790434,0.6084271865024049,0.8685291153782274,0.840605990768188,0.0025740559212863445,-0.08807157725095749,full,full
