metric,mean,ci_low,ci_high
accuracy,0.9592742361111111,0.95799375,0.9606947916666666
balanced_accuracy,0.8936060932268013,0.8890368273405808,0.897887885407946
precision,0.792724200533913,0.7843757037085027,0.8010883395132679
recall,0.811194487492671,0.8022959660334977,0.8194924969722965
f1,0.8018439685328517,0.794765689306591,0.8080487333820822
mcc,0.7792217973382698,0.7714749088032468,0.7857853934870138
auroc,0.9828014334926742,0.9818832218969803,0.983545094793936
auprc,0.8757029897763917,0.8684970025973116,0.8823667695757657
brier,0.03620078712656918,0.03544926657397043,0.03697351863605591
